player_tag,player_name,war_id,race_date,clan_tag,fame,decks_used,previous_clan_rank,previous_clan_score,last_3_avg_clan_rank,last_3_avg_clan_score,clan_score_change,fame_per_deck,full_participation,participated,last_3_avg_fame,last_3_avg_decks,last_2_avg_decks,last_3_avg_efficiency,last_5_participation_rate,last_2_participation_rate,last_5_full_participation_rate,recent_active_wars,previous_war_fame,previous_war_decks,fame_trend,decks_change,last_3_fame_std,last_3_decks_std,previous_wars_count
#Y80PLPPLJ,ダニエル⁠・daniqm,134-3-20260803T095904.000Z,2026-08-03 09:59:04,#YRQJUCR0,2450.0,16.0,4.0,4368.0,4.0,4378.0,-10.0,153.125,1,1,766.6666666666666,4.666666666666667,7.0,54.76190476190476,0.6,0.5,0.2,1.0,0.0,0.0,-2300.0,-14.0,1327.9056191361392,8.082903768654761,5
#Y88LJ89V,tuttar,134-3-20260803T095904.000Z,2026-08-03 09:59:04,#UCPCJY,1500.0,8.0,3.0,4462.0,2.3333333333333335,4452.0,10.0,187.5,0,1,2800.0,16.0,16.0,175.0,1.0,1.0,1.0,3.0,2800.0,16.0,-50.0,0.0,50.0,0.0,3
#Y88Y02VU2,早上好Jhplay123❤️R,135-2-20260824T093906.000Z,2026-08-24 09:39:06,#8Y9U9U2P,0.0,0.0,2.0,8769.0,2.0,8761.5,15.0,0.0,0,0,858.3333333333334,7.333333333333333,4.0,79.16666666666667,0.6666666666666666,0.5,0.0,2.0,0.0,0.0,-1000.0,-8.0,796.9995817648421,7.023769168568493,3
#Y88Y02VU2,早上好Jhplay123❤️R,135-3-20260831T093206.000Z,2026-08-31 09:32:06,#P2P2Y880,0.0,0.0,5.0,10655.0,5.0,10675.0,-20.0,0.0,0,0,333.3333333333333,2.6666666666666665,0.0,41.666666666666664,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,577.3502691896257,4.618802153517007,4
#Y88Y02VU2,早上好Jhplay123❤️R,135-3-20260831T093905.000Z,2026-08-31 09:39:05,#8Y9U9U2P,0.0,0.0,3.0,8779.0,2.3333333333333335,8767.333333333334,10.0,0.0,0,0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
#Y88Y02VU2,早上好Jhplay123❤️R,135-4-20260907T093204.000Z,2026-09-07 09:32:04,#P2P2Y880,0.0,0.0,5.0,10635.0,5.0,10655.0,-20.0,0.0,0,0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
#Y88Y02VU2,早上好Jhplay123❤️R,135-4-20260907T093904.000Z,2026-09-07 09:39:04,#8Y9U9U2P,0.0,0.0,2.0,8774.0,2.3333333333333335,8774.0,-5.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
#Y8CC0QLQ,EL MORCILLOTE,135-3-20260831T093206.000Z,2026-08-31 09:32:06,#LC8C9L9L,2300.0,16.0,3.0,4929.0,3.0,4934.0,-5.0,143.75,1,1,2600.0,16.0,16.0,162.5,1.0,1.0,1.0,3.0,2600.0,16.0,-50.0,0.0,50.0,0.0,3
#Y8CC0QLQ,EL MORCILLOTE,135-4-20260907T093204.000Z,2026-09-07 09:32:04,#LC8C9L9L,2950.0,16.0,4.0,4924.0,3.3333333333333335,4929.0,-5.0,184.375,1,1,2516.6666666666665,16.0,16.0,157.29166666666666,1.0,1.0,1.0,3.0,2300.0,16.0,-300.0,0.0,189.29694486000906,0.0,4
#Y8G202C0U,SamirJr,134-3-20260803T095904.000Z,2026-08-03 09:59:04,#UCPCJY,0.0,0.0,3.0,4462.0,2.3333333333333335,4452.0,10.0,0.0,0,0,766.6666666666666,5.333333333333333,0.0,47.916666666666664,0.3333333333333333,0.0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,1327.9056191361394,9.237604307034013,3
#Y8GQ0L99,♡Lies_are_Evil♡,135-3-20260831T093905.000Z,2026-08-31 09:39:05,#2J9QGUP,1250.0,16.0,1.0,7678.0,1.0,7659.666666666667,20.0,78.125,1,1,2483.3333333333335,13.333333333333334,12.0,184.7222222222222,1.0,1.0,0.3333333333333333,3.0,2150.0,12.0,50.0,0.0,621.1548384528074,2.3094010767585034,3
#Y8GQ0L99,♡Lies_are_Evil♡,135-4-20260907T093904.000Z,2026-09-07 09:39:04,#2J9QGUP,3400.0,16.0,1.0,7698.0,1.0,7678.0,20.0,212.5,1,1,1833.3333333333333,13.333333333333334,14.0,144.0972222222222,1.0,1.0,0.5,3.0,1250.0,16.0,-900.0,4.0,505.799696849784,2.3094010767585034,4
#Y8LY2LGV8,schlüti,134-3-20260803T093203.000Z,2026-08-03 09:32:03,#29LY00Y2,2850.0,16.0,2.0,4978.0,3.3333333333333335,4988.0,-5.0,178.125,1,1,2566.6666666666665,16.0,16.0,160.41666666666666,1.0,1.0,1.0,3.0,2900.0,16.0,200.0,0.0,416.3331998932266,0.0,3
