player_tag,player_name,wars_observed,avg_fame,avg_decks,fame_std,decks_std,participation_rate,full_participation_rate,avg_efficiency,cluster,archetype_name,currently_member,rotation_eligible
#9YUCJV00,MuK｜⚡Leo⚡,7,2007.142857142857,10.857142857142858,1160.6135487421338,6.414269805898185,0.8571428571428571,0.42857142857142855,160.56547619047618,1,Inconsistent Contributor,0,1
#CJPL2J82U,Riapyi,7,342.85714285714283,2.2857142857142856,711.4706432386906,4.535573676110727,0.2857142857142857,0.0,40.47619047619048,2,Low-Participation Player,0,1
#CJVL8CG8,GK03™,3,1200.0,5.333333333333333,2078.460969082653,9.237604307034013,0.3333333333333333,0.3333333333333333,75.0,1,Inconsistent Contributor,0,1
#CR0JUCC2,Don-Mehdi,10,1100.0,6.4,1361.7798810543666,7.58946638440411,0.5,0.3,80.72916666666666,1,Inconsistent Contributor,0,1
#CUJ0YVLL9,FF｜Soxee™,7,2657.1428571428573,14.285714285714286,515.1282780600798,2.138089935299395,1.0,0.5714285714285714,186.45833333333334,0,Reliable High Performer,1,1
#G0QQUGY,syen,3,1783.3333333333333,10.666666666666666,1241.3030787576954,6.110100926607787,1.0,0.3333333333333333,151.38888888888889,1,Inconsistent Contributor,1,1
#G0YVG9J9R,Pindakaas,7,1528.5714285714287,8.571428571428571,1259.2514783450865,6.214422549122936,0.7142857142857143,0.14285714285714285,125.5952380952381,1,Inconsistent Contributor,1,1
#GQYVYQ82,AM♣️Joma,7,2528.5714285714284,13.714285714285714,395.6609900503448,2.138089935299395,1.0,0.42857142857142855,185.86309523809524,0,Reliable High Performer,1,1
#GUVVPU828,Ryza,3,1933.3333333333333,10.666666666666666,1710.506747526397,9.237604307034013,0.6666666666666666,0.6666666666666666,120.83333333333333,1,Inconsistent Contributor,1,1
#GVC0URYV8,主人｜Lou✨,7,1250.0,9.0,1175.0886491381548,8.426149773176359,0.5714285714285714,0.42857142857142855,79.43452380952381,1,Inconsistent Contributor,1,1
#J98LL9CU,Deadication,7,2714.285714285714,13.714285714285714,543.6867095076336,2.138089935299395,1.0,0.42857142857142855,197.32142857142858,0,Reliable High Performer,0,1
#JPGLC99VU,BigRys,7,2635.714285714286,13.714285714285714,509.66842629488514,2.138089935299395,1.0,0.42857142857142855,192.1130952380952,0,Reliable High Performer,1,1
#P8JUY99V,The Jonkler,7,2728.5714285714284,14.285714285714286,598.510054814692,2.138089935299395,1.0,0.5714285714285714,190.77380952380955,0,Reliable High Performer,1,1
#PCJYGUYU,♠️Cam♦️,3,550.0,3.0,952.6279441628825,5.196152422706632,0.3333333333333333,0.0,61.11111111111112,2,Low-Participation Player,1,1
#PGPCJCY2,LandShark,7,2307.1428571428573,12.285714285714286,659.8159916652088,3.3523268393901033,1.0,0.2857142857142857,187.62755102040816,0,Reliable High Performer,1,1
#PVJ80LQU,ProB,7,2392.8571428571427,13.714285714285714,527.9114283575192,2.138089935299395,1.0,0.42857142857142855,173.8095238095238,0,Reliable High Performer,1,1
#Q0GVLRRU,Cobrito❤️Moni,7,2692.8571428571427,13.714285714285714,330.9438162646486,2.138089935299395,1.0,0.42857142857142855,197.32142857142858,0,Reliable High Performer,1,1
#Q0Y9VUQG9,Jenner8,7,2400.0,15.428571428571429,419.32485418030416,1.5118578920369092,1.0,0.8571428571428571,156.25,0,Reliable High Performer,1,1
#Q9JURC8RG,reaperwarrior,9,2050.0,10.222222222222221,1066.8294146675933,5.333333333333333,0.8888888888888888,0.2222222222222222,179.39814814814815,1,Inconsistent Contributor,1,1
#QJPGQPU,Storm,7,2771.4285714285716,16.0,569.9832913173441,0.0,1.0,1.0,173.21428571428572,0,Reliable High Performer,1,1
#QV9YQ2JL,Boozer✨️,7,2278.5714285714284,10.857142857142858,1064.5253804932438,5.01426536422407,0.8571428571428571,0.14285714285714285,179.7619047619048,1,Inconsistent Contributor,0,1
#U8L88PUJU,for nothing!,7,2607.1428571428573,13.285714285714286,569.6699127773991,1.889822365046136,1.0,0.2857142857142857,195.82188644688645,0,Reliable High Performer,1,1
#U8Q9CGYU,⚡Agustin⚡,7,2828.5714285714284,13.714285714285714,493.16760408028193,2.138089935299395,1.0,0.42857142857142855,206.1011904761905,0,Reliable High Performer,0,1
#UC9J89QRY,RUM SHIP,7,242.85714285714286,1.1428571428571428,415.76092031014997,1.9518001458970664,0.2857142857142857,0.0,60.714285714285715,2,Low-Participation Player,0,1
#ULV0RPYJR,Always Lucky,7,571.4285714285714,4.571428571428571,543.7961803049794,4.27617987059879,0.5714285714285714,0.0,71.42857142857143,2,Low-Participation Player,1,1
#VQQLRRGRR,HumBleGuY,8,1812.5,9.0,1594.1298566929859,7.6345081233642205,0.625,0.375,124.47916666666667,1,Inconsistent Contributor,0,1
#Y2G9LJVGY,Agent,4,2637.5,14.0,335.09948771471835,2.309401076758503,1.0,0.5,189.32291666666666,0,Reliable High Performer,1,1
#Y992UG9P2,Seto Kaiba｜波多黎各,7,2635.714285714286,13.142857142857142,492.2010816342288,1.9518001458970662,1.0,0.2857142857142857,199.70238095238093,0,Reliable High Performer,1,1
#YLLQ9V9C8,Dukeypoo❤️Zo,6,837.5,4.0,1063.6905094998262,5.059644256269407,0.5,0.0,103.99305555555556,2,Low-Participation Player,0,1
