live_race_id,player_tag,player_name,clan_tag,clan_name,current_fame,current_decks_used,decks_used_today,currently_member,previous_wars_count,last_3_avg_fame,last_3_avg_decks,last_2_avg_decks,last_3_avg_efficiency,last_5_participation_rate,last_5_full_participation_rate,previous_war_fame,previous_war_decks,fame_trend,last_3_fame_std,last_3_decks_std,previous_clan_score,last_3_avg_clan_score,cluster,archetype_name,model_eligible,prediction_tier,rotation_eligible,linear_predicted_fame,participation_probability,predicted_participation,predicted_active_decks,predicted_efficiency,hard_predicted_fame,expected_predicted_fame,final_predicted_fame,daily_participation_weight,capacity_adjusted_fame,expected_daily_fame,active_day_fame_potential,reliability_score,optimization_score,rotation_rank,recommended_status
Y9202P9U-20260914-section-1,#J98LL9CU,Deadication,#Y9202P9U,Galactic Kings,0,0,0,0,10.0,2850.0,14.666666666666666,14.0,193.75,1.0,0.4,2250.0,12.0,-550.0,626.4982043070834,2.3094010767585034,9864,9790.666666666666,1.0,Reliable High Performer,True,ml_model,1,2172.8631853617935,0.7609467234828564,1.0,12.2755816035816,193.75,2378.3939356939354,1809.8310725177955,2275.6285605278645,0.782813070413657,2341.0203705646963,568.9071401319661,747.6307112908979,0.7609467234828564,568.914749599201,11,START
Y9202P9U-20260914-section-1,#2P9LU2YUU,Drew62,#Y9202P9U,Galactic Kings,0,0,0,1,10.0,2866.6666666666665,14.666666666666666,14.0,196.5277777777778,1.0,0.4,2500.0,12.0,-100.0,550.7570547286102,2.3094010767585034,9864,9790.666666666666,1.0,Reliable High Performer,True,ml_model,1,2119.6464351867544,0.8656787836888115,1.0,12.17097077922078,196.5277777777778,2391.9338406385286,2070.646377828069,2255.7901379126415,0.8905546810816457,2320.6118767236208,563.9475344781604,651.4512601025978,0.8656787836888115,563.9561912659973,12,START
Y9202P9U-20260914-section-1,#JPGLC99VU,BigRys,#Y9202P9U,Galactic Kings,0,0,0,1,10.0,2866.6666666666665,14.666666666666666,14.0,195.48611111111111,1.0,0.4,2350.0,12.0,-400.0,583.8093296045664,2.3094010767585034,9864,9790.666666666666,1.0,Reliable High Performer,True,ml_model,1,2156.4279677552613,0.7995543773745375,1.0,12.023223424723422,195.48611111111111,2350.373190319197,1879.2511727834703,2253.40057903723,0.8225301427812016,2318.1536521692997,563.3501447593075,704.5801520206246,0.7995543773745375,563.3581403030812,13,START
Y9202P9U-20260914-section-1,#CUJ0YVLL9,FF｜Soxee™,#Y9202P9U,Galactic Kings,0,0,0,1,10.0,2633.3333333333335,14.666666666666666,16.0,179.51388888888889,1.0,0.6,2400.0,16.0,-950.0,633.1139971074193,2.3094010767585034,9864,9790.666666666666,1.0,Reliable High Performer,True,ml_model,1,2349.748272141621,0.7913796039954287,1.0,11.96144889369889,179.51388888888889,2147.2462076535853,1699.2868534935806,2248.4972398976033,0.8141204614574603,2313.109412081634,562.1243099744008,710.309322019939,0.7913796039954287,562.1322237704408,14,START
Y9202P9U-20260914-section-1,#2VYLGPPUV,Nadir,#Y9202P9U,Galactic Kings,0,0,0,1,10.0,2733.3333333333335,14.666666666666666,14.0,184.375,1.0,0.4,1950.0,12.0,-1350.0,700.5949852327901,2.3094010767585034,9864,9790.666666666666,1.0,Reliable High Performer,True,ml_model,1,2173.4062914013,0.6538370645590552,1.0,12.33574562474562,184.375,2274.4030995624735,1487.0890462419443,2223.904695481887,0.6726255390325728,2287.8101833587116,555.9761738704717,850.3283218509791,0.6538370645590552,555.9827122411173,15,START
Y9202P9U-20260914-section-1,#Q0GVLRRU,Cobrito❤️Moni,#Y9202P9U,Galactic Kings,0,0,0,1,10.0,2783.3333333333335,14.666666666666666,14.0,190.625,1.0,0.4,2400.0,12.0,-650.0,340.3429642777023,2.3094010767585034,9864,9790.666666666666,1.0,Reliable High Performer,True,ml_model,1,2035.4313113961805,0.7537877952377667,1.0,12.532924963924964,190.625,2389.0888212481964,1800.8659951958728,2212.2600663221883,0.7754484252585274,2275.830937473257,553.0650165805471,733.7144751807691,0.7537877952377667,553.0725544584994,16,START
Y9202P9U-20260914-section-1,#8RQCGY8CQ,GK｜Logan,#Y9202P9U,Galactic Kings,0,0,0,1,14.0,2300.0,10.666666666666666,8.0,217.36111111111111,1.0,0.2,2500.0,12.0,1600.0,1311.4877048604,6.110100926607787,9864,9790.666666666666,0.0,Inconsistent Contributor,True,ml_model,1,1751.670658943475,0.7100135361806843,1.0,12.21158429533429,217.36111111111111,2654.3235308608564,1884.605636314116,2202.997094902166,0.7304162816404867,2266.301787961616,550.7492737255415,775.6884138972059,0.7100135361806843,550.7563738609033,17,START
Y9202P9U-20260914-section-1,#Y2G9LJVGY,Agent,#Y9202P9U,Galactic Kings,0,0,0,1,7.0,2750.0,14.666666666666666,14.0,188.54166666666663,1.0,0.4,2400.0,12.0,-550.0,304.138126514911,2.3094010767585034,9864,9790.666666666666,1.0,Reliable High Performer,True,ml_model,1,1998.338800141551,0.8270265856106628,1.0,12.662250360750363,188.54166666666663,2387.361786766475,1974.411667126849,2192.850293454013,0.8507917845186591,2255.863410935494,548.2125733635032,662.8717660372575,0.8270265856106628,548.2208436293594,18,START
Y9202P9U-20260914-section-1,#Y992UG9P2,Seto Kaiba｜波多黎各,#Y9202P9U,Galactic Kings,0,0,0,1,10.0,2666.6666666666665,13.333333333333334,12.0,199.30555555555551,1.0,0.2,2300.0,12.0,-100.0,550.7570547286102,2.3094010767585034,9864,9790.666666666666,1.0,Reliable High Performer,True,ml_model,1,2002.1920629924475,0.8861762513786602,1.0,11.836919931919928,199.30555555555551,2359.1639030979295,2090.635024035172,2180.6779830451887,0.911641158127705,2243.3413205037914,545.1694957612972,615.1930780283888,0.8861762513786602,545.178357523811,19,START
Y9202P9U-20260914-section-1,#Q9JURC8RG,reaperwarrior,#Y9202P9U,Galactic Kings,0,0,0,1,12.0,2666.6666666666665,13.333333333333334,12.0,200.0,1.0,0.2,2450.0,12.0,100.0,464.5786621588785,2.3094010767585034,9864,9790.666666666666,0.0,Inconsistent Contributor,True,ml_model,1,1956.952890548502,0.8908434398756795,1.0,11.860164400414398,200.0,2372.0328800828797,2113.1099303912474,2164.4928853156907,0.9164424616155874,2226.6911324451803,541.1232213289227,607.4279689419259,0.8908434398756795,541.1321297633215,20,START
