live_race_id,player_tag,player_name,clan_tag,clan_name,current_fame,current_decks_used,decks_used_today,currently_member,previous_wars_count,last_3_avg_fame,last_3_avg_decks,last_2_avg_decks,last_3_avg_efficiency,last_5_participation_rate,last_5_full_participation_rate,previous_war_fame,previous_war_decks,fame_trend,last_3_fame_std,last_3_decks_std,previous_clan_score,last_3_avg_clan_score,cluster,archetype_name,model_eligible,prediction_tier
Y9202P9U-20260914-section-1,#9RQJ0GGY,TP14,#LUG9LVC0,37XU,0,0,0,1,10.0,3033.3333333333335,16.0,16.0,189.58333333333334,1.0,1.0,2550.0,16.0,-600.0,436.8447474027052,0.0,5037,4997.0,,Not Enough History,True,ml_model
Y9202P9U-20260914-section-1,#9RU0GR8J,LionGalaxy,#Y9202P9U,Galactic Kings,0,0,0,0,9.0,2566.6666666666665,13.333333333333334,14.0,192.36111111111111,0.8,0.2,2100.0,12.0,-1000.0,503.32229568471666,2.3094010767585034,9864,9790.666666666666,1.0,Inconsistent Contributor,True,ml_model
Y9202P9U-20260914-section-1,#9RY8GQJQU,『PHX』Marcel✨Nay,#Y9202P9U,Galactic Kings,0,0,0,0,6.0,1716.6666666666667,9.333333333333334,12.0,166.66666666666666,0.8,0.2,1350.0,8.0,-1950.0,1435.5602855099235,6.110100926607787,9864,9790.666666666666,1.0,Inconsistent Contributor,True,ml_model
Y9202P9U-20260914-section-1,#9U8CRGUJQ,46猫,#J29J90P,isao,0,0,0,1,1.0,1300.0,8.0,8.0,162.5,1.0,0.0,1300.0,8.0,0.0,,,5098,5038.0,,Not Enough History,False,limited_history
Y9202P9U-20260914-section-1,#9UJYJG9V,pa_rmourao,#YV8JLPC2,ILLUMINATI 2.0,0,0,4,1,10.0,2950.0,16.0,16.0,184.375,1.0,1.0,3050.0,16.0,250.0,132.28756555322954,0.0,4877,4890.333333333333,,Not Enough History,True,ml_model
Y9202P9U-20260914-section-1,#9URLC8Q9R,PEDRO CRAZY,#YV8JLPC2,ILLUMINATI 2.0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,4877,4890.333333333333,,Not Enough History,False,limited_history
Y9202P9U-20260914-section-1,#9UY8L0UJG,hog❤️,#Y9202P9U,Galactic Kings,0,0,0,0,8.0,950.0,5.333333333333333,8.0,118.75,0.6,0.0,1450.0,8.0,50.0,823.1038816577164,4.618802153517007,9864,9790.666666666666,2.0,Low-Participation Player,True,ml_model
Y9202P9U-20260914-section-1,#9V8JCVLVC,enjoy,#J29J90P,isao,0,0,4,1,10.0,2200.0,10.666666666666666,16.0,137.5,0.6,0.4,3000.0,16.0,-600.0,1928.730152198591,9.237604307034013,5098,5038.0,,Not Enough History,True,ml_model
Y9202P9U-20260914-section-1,#9VULYUJU,Patbuun,#9VLJRY2J,Gentleman Jack,0,0,0,1,8.0,2266.6666666666665,16.0,16.0,141.66666666666666,1.0,1.0,2000.0,16.0,-1200.0,832.6663997864531,0.0,5091,5027.666666666667,,Not Enough History,True,ml_model
Y9202P9U-20260914-section-1,#9YP0RYGR,AL_JOKER,#Y9202P9U,Galactic Kings,0,0,0,1,4.0,1266.6666666666667,8.333333333333334,8.0,157.4074074074074,1.0,0.0,700.0,4.0,-1000.0,513.1601439446883,4.041451884327381,9864,9790.666666666666,,Not Enough History,True,ml_model
